"scenario_id","rho","error","beta_mse_ratio_rtecv","test_rmse","trace_var_slope"
"n100_p12_rho0.90_exponential",0.9,"exponential",0.393417630749823,1.02751150124947,0.49095791916961
"n100_p12_rho0.90_gamma2",0.9,"gamma2",0.454498178277562,1.02771226393549,0.0768110363258283
"n100_p12_rho0.90_lognormal",0.9,"lognormal",0.429165107223853,1.0287452845981,0.0908071775257344
"n100_p12_rho0.90_normal",0.9,"normal",0.464650391762227,1.02888264732803,0.0809741068357916
"n100_p12_rho0.99_exponential",0.99,"exponential",0.135470008720002,1.02173671318324,0.267324882323673
"n100_p12_rho0.99_gamma2",0.99,"gamma2",0.120731466086448,1.0195605942603,0.162966091288027
"n100_p12_rho0.99_lognormal",0.99,"lognormal",0.131901553316373,1.02145371785915,0.135746913048803
"n100_p12_rho0.99_normal",0.99,"normal",0.159268304279868,1.01892153376029,0.169571114782056
"n100_p4_rho0.90_exponential",0.9,"exponential",0.421319733789633,1.01947240977509,0.0231508952601692
"n100_p4_rho0.90_gamma2",0.9,"gamma2",0.487566182740761,1.02162972327492,0.0301378311891611
"n100_p4_rho0.90_lognormal",0.9,"lognormal",0.448194351889627,1.02246949173965,0.0264845350824696
"n100_p4_rho0.90_normal",0.9,"normal",0.607432961809253,1.02359032576736,0.0437187537048644
"n100_p4_rho0.99_exponential",0.99,"exponential",0.150730090123883,1.01766687530232,0.0307861441172528
"n100_p4_rho0.99_gamma2",0.99,"gamma2",0.152037969362638,1.01766925070957,0.0424708690690811
"n100_p4_rho0.99_lognormal",0.99,"lognormal",0.157578418853993,1.01783457445584,0.041737436468226
"n100_p4_rho0.99_normal",0.99,"normal",0.196676635280989,1.01716853496881,0.081813251395672
"n500_p12_rho0.90_exponential",0.9,"exponential",0.254174465830188,1.01216594621684,0.00839028717153891
"n500_p12_rho0.90_gamma2",0.9,"gamma2",0.269624210993871,1.0129808264481,0.0103139034710345
"n500_p12_rho0.90_lognormal",0.9,"lognormal",0.280977060588207,1.01309124481198,0.00988037703158315
"n500_p12_rho0.90_normal",0.9,"normal",0.395884906127187,1.01478380402055,0.0157455839743717
"n500_p12_rho0.99_exponential",0.99,"exponential",0.0752245523514834,1.01104678121136,0.00227836418994552
"n500_p12_rho0.99_gamma2",0.99,"gamma2",0.0798819773423393,1.01010562765971,0.00282759428518592
"n500_p12_rho0.99_lognormal",0.99,"lognormal",0.0789367419505487,1.00946014191137,0.00301336803023769
"n500_p12_rho0.99_normal",0.99,"normal",0.139070473439947,1.01071594507685,0.00492240017038484
"n500_p4_rho0.90_exponential",0.9,"exponential",0.439291709265567,1.01127860794949,0.00495307724088216
"n500_p4_rho0.90_gamma2",0.9,"gamma2",0.470883314077371,1.00977950652426,0.00603107683192072
"n500_p4_rho0.90_lognormal",0.9,"lognormal",0.454158674567401,1.00966327556252,0.00602244680165939
"n500_p4_rho0.90_normal",0.9,"normal",0.593187899911495,1.01054160599619,0.00902565526628542
"n500_p4_rho0.99_exponential",0.99,"exponential",0.123526448968618,1.0084146527849,0.00247661672931546
"n500_p4_rho0.99_gamma2",0.99,"gamma2",0.125675494320454,1.00905955129448,0.00318035660087939
"n500_p4_rho0.99_lognormal",0.99,"lognormal",0.130004057511866,1.01055576620284,0.00279987702944355
"n500_p4_rho0.99_normal",0.99,"normal",0.130603303887533,1.00860986659075,0.00434558063539379
