"scenario_id","n","p","rho","error","pmm3_conv_rate","est_version","phase","g_mode","reps","test_n","B_boot","delta_main","seed_base","generated"
"n100_p12_rho0.90_normal",100,12,0.9,"normal",1,"0.5.0-pmmrte","final","deployable",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_tn1.5",100,12,0.9,"tn1.5",1,"0.5.0-pmmrte","final","deployable",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_uniform",100,12,0.9,"uniform",1,"0.5.0-pmmrte","final","deployable",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_normal",100,12,0.99,"normal",1,"0.5.0-pmmrte","final","deployable",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_tn1.5",100,12,0.99,"tn1.5",1,"0.5.0-pmmrte","final","deployable",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_uniform",100,12,0.99,"uniform",1,"0.5.0-pmmrte","final","deployable",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p4_rho0.90_normal",100,4,0.9,"normal",1,"0.5.0-pmmrte","final","deployable",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p4_rho0.90_tn1.5",100,4,0.9,"tn1.5",1,"0.5.0-pmmrte","final","deployable",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p4_rho0.90_uniform",100,4,0.9,"uniform",1,"0.5.0-pmmrte","final","deployable",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p4_rho0.99_normal",100,4,0.99,"normal",1,"0.5.0-pmmrte","final","deployable",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p4_rho0.99_tn1.5",100,4,0.99,"tn1.5",1,"0.5.0-pmmrte","final","deployable",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p4_rho0.99_uniform",100,4,0.99,"uniform",1,"0.5.0-pmmrte","final","deployable",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
